bank,bank_agents,bank_envs,environment_steps,greedy_action_disagreement,mean_entropy_delta_drtp_minus_utr,mean_entropy_drtp,mean_entropy_utr,mean_js_divergence,mean_total_variation,milestone,seed,seed_class,source_contract,status
paired_utr_500k_runtime_obs,3,4,5500000,0.75,0.024297311902046204,1.3395686149597168,1.315271258354187,0.31043943762779236,0.621419370174408,5500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6000000,0.9166666666666666,0.2997296452522278,1.4248651266098022,1.1251353025436401,0.38467955589294434,0.7370524406433105,6m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6500000,0.8333333333333334,-0.06160975620150566,1.1796741485595703,1.2412837743759155,0.302619606256485,0.6085202693939209,6500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7000000,0.9166666666666666,-0.06529263406991959,1.1536604166030884,1.218953013420105,0.38173654675483704,0.7093472480773926,7m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7500000,0.9166666666666666,-0.05025045946240425,1.0308178663253784,1.0810681581497192,0.4018777906894684,0.7295385003089905,7500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8000000,1.0,-0.16489700973033905,1.0414732694625854,1.2063703536987305,0.4976920783519745,0.8356931805610657,8m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8500000,0.9166666666666666,-0.26745161414146423,0.940701425075531,1.2081531286239624,0.512878954410553,0.8594861030578613,8500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9000000,0.6666666666666666,0.21645589172840118,1.1055058240890503,0.8890500068664551,0.35040727257728577,0.6229877471923828,9m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9500000,0.8333333333333334,0.08403380960226059,1.233979344367981,1.149945616722107,0.3952755033969879,0.7242913842201233,9500k,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,10000000,0.9166666666666666,0.12294650822877884,1.3195608854293823,1.196614384651184,0.4391216039657593,0.7731552124023438,10m,2002,weak,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,500000,0.9166666666666666,0.08566868305206299,2.4883511066436768,2.402682304382324,0.18615542352199554,0.48630502820014954,500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1000000,0.9166666666666666,-0.05078187584877014,2.1870901584625244,2.2378721237182617,0.2708100378513336,0.5932226777076721,1m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1500000,0.9166666666666666,-0.5205864310264587,1.31686532497406,1.8374519348144531,0.41037869453430176,0.7638373374938965,1500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2000000,0.5,-0.06998489052057266,1.374944806098938,1.444929599761963,0.2177296131849289,0.5193619728088379,2m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2500000,0.9166666666666666,-0.5667205452919006,0.913936197757721,1.480656623840332,0.43000832200050354,0.791633665561676,2500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3000000,0.5,0.3081411123275757,1.63491952419281,1.3267782926559448,0.3691577613353729,0.6639788746833801,3m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3500000,0.9166666666666666,-0.6663147807121277,0.7428898811340332,1.4092046022415161,0.4504711925983429,0.7912895083427429,3500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4000000,1.0,0.2199886590242386,1.2666693925857544,1.0466808080673218,0.492697149515152,0.8397417068481445,4m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4500000,0.8333333333333334,-0.07304040342569351,1.0259981155395508,1.0990384817123413,0.3392172157764435,0.6748809814453125,4500k,2003,strong,heldout,estimated_from_archived_runtime_states
