protocol,episode_id,condition,family,J,terminal_step,success,collision,timeout,constraint_violation,failure_exposed,alive_at_onset,failure_trigger_success,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,path_switch_count,method,training_contract,training_seed,checkpoint_sha256
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950010,seen_f0_44_80,seen_relay_failure,65.63429084327072,260,0,0,1,0,1,1,1,0,260,162743.05444335938,801.0,0.4375,0.0,0.2375,0.525,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950011,seen_f0_44_80,seen_relay_failure,46.927809946238995,260,0,0,1,0,1,1,1,0,260,162382.03829956055,834.0,0.475,0.0,0.0,0.475,3,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950012,seen_f0_44_80,seen_relay_failure,50.0784544730559,260,0,0,1,0,1,1,1,0,260,162844.0132446289,819.0,0.5,0.0,0.125,0.5125,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950013,seen_f0_44_80,seen_relay_failure,54.6510841595009,260,0,0,1,0,1,1,1,0,260,162678.00106811523,817.0,0.5,0.0,0.2125,0.5125,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950014,seen_f0_44_80,seen_relay_failure,53.934838538989425,260,0,0,1,0,1,1,1,0,260,162550.01010131836,815.0,0.475,0.0,0.0625,0.5,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950015,seen_f0_44_80,seen_relay_failure,65.11316902935505,260,0,0,1,0,1,1,1,0,260,163109.99377441406,846.0,0.525,0.0,0.3125,0.55,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950016,seen_f0_44_80,seen_relay_failure,53.94821990095079,260,0,0,1,0,1,1,1,0,260,162484.03018188477,842.0,0.475,0.0,0.2,0.5,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950017,seen_f0_44_80,seen_relay_failure,68.4377477010712,260,0,0,1,0,1,1,1,0,260,163220.97201538086,831.0,0.5125,0.0,0.35,0.5375,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950018,seen_f0_44_80,seen_relay_failure,64.27479900419712,260,0,0,1,0,1,1,1,0,260,163446.99212646484,838.0,0.5125,0.0,0.3,0.5375,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950019,seen_f0_44_80,seen_relay_failure,64.81188411358744,260,0,0,1,0,1,1,1,0,260,162780.06414794922,799.0,0.45,0.0,0.2125,0.5375,13,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
