arm,seed,milestone_update,window_updates,conservative_group,train_avg_reward,loss,policy_loss,value_loss,explained_variance,approx_kl,clip_fraction,entropy,grad_norm,advantage_mean,advantage_std,actor_gradient_norm,critic_gradient_norm,actor_update_norm,critic_update_norm
conservative_drtp_sg,3001,2930,128,failure,0.12648227330646478,0.3833795947721228,-0.0019876015485943903,0.8217193921591388,0.9185791562777013,0.0013209804179249809,0.011507670408718695,2.549250072799623,3.172580957529135,0.031185218344035093,1.1887332028709352,,,,
conservative_drtp_sg,3001,3907,128,failure,0.17355023065465502,0.47116923294379376,-0.0013411134429861394,0.9949436100723688,0.9170537500176579,0.0005286983703403081,0.0017115275391006435,2.4961460144259036,4.484163650427945,0.011469675242551602,1.333865625783801,,,,
conservative_drtp_sg,3002,976,128,success,0.0681951453716465,0.08680338342310279,-0.0016263406494871307,0.22847091305811773,0.9208720949245617,0.000859864191422588,0.004844665700147743,2.580573269398883,1.5874519466306083,-0.021007610514061525,0.5728175312979147,,,,
conservative_drtp_sg,3002,1953,128,success,0.08430472906911746,0.038544396120414604,-0.0016261173847939114,0.13113155540486332,0.9708452748600394,0.0006601303857642904,0.0020167033439975057,2.539526468142867,0.8539230706228409,0.01681357995403232,0.4737090797862038,,,,
conservative_drtp_sg,3002,2930,128,success,0.09166083991294727,0.057751949372686795,-0.002397938000769134,0.17004992378315364,0.9623475599801168,0.001091577627895172,0.006429036676308897,2.487507516751066,1.0170576405944303,-0.011068578112372052,0.5185363417258486,,,,
conservative_drtp_sg,3002,3907,128,success,0.10237196189700626,0.30922988852034905,-0.002049469552595406,0.6699659483492724,0.9155448202509433,0.0008559410853727912,0.004809061808600745,2.3703616354614496,2.56985677476041,0.05948712206736673,1.048878650413826,,,,
conservative_drtp_sg,3003,976,128,failure,0.048513627356896905,0.14723547907124157,-0.0018961067435802764,0.3511604590676143,0.924699057941325,0.0010844191784732022,0.008529663279432498,2.644864506321028,1.4467396980035119,0.028647989857745415,0.7403888336848468,,,,
conservative_drtp_sg,3003,1953,128,failure,0.12528976509929635,0.38535144851266523,-0.0013619951333770446,0.8250235679879552,0.9181075447704643,0.000580999403305545,0.00148264570975698,2.579833976458758,2.9158976765465923,0.0494141001108801,1.1416841049212962,,,,
conservative_drtp_sg,3003,2930,128,failure,0.07959833793211146,0.07992547316098353,-0.002377729154568192,0.2146207799887634,0.9564864375861362,0.0013139717930599202,0.009137471744452341,2.5007188115268946,1.3669341246713884,0.018851788006941206,0.6079535640310496,,,,
conservative_drtp_sg,3003,3907,128,failure,0.15374220223748125,0.48139095095393714,-0.0014422652883894504,1.017273462988669,0.9054550734581426,0.000613873227313988,0.0017420451454199792,2.580351611133665,4.1386763154296204,0.01714960038952995,1.3118198472075164,,,,
conservative_drtp_sg,3004,976,128,failure,0.08521606659633107,0.22851096815429628,-0.001874937506774673,0.5155148988960718,0.8976785042323172,0.0005693868587375306,0.0020701091191313026,2.7371544395573437,1.4988804410095327,0.03369584919164481,0.8816335600567982,,,,
conservative_drtp_sg,3004,1953,128,failure,0.14291284876526333,0.5341956006450346,-0.0018857303338394062,1.1214406175422482,0.8977906667860225,0.0006102700996285885,0.0026219686556032684,2.4638979281298816,3.019971227622591,0.07330169210945314,1.3655203166417778,,,,
conservative_drtp_sg,3004,2930,128,failure,0.13730422584922053,0.6630982337228488,-0.0017539028466120234,1.3806511920993216,0.837332243216224,0.0006153852642386918,0.002143859939678805,2.5473459851928055,3.713913412299007,0.051433838980301516,1.5280445786193013,,,,
conservative_drtp_sg,3004,3907,128,failure,0.15906825760612264,0.6030669162428239,-0.0019153501179850142,1.2601911889505573,0.9104809165000916,0.0006511365519775344,0.002642313728301815,2.5113328294828534,3.7019155367743224,0.0008514649107382866,1.4960796209052205,,,,
conservative_drtp_sg,3005,976,128,success,0.034378315930098324,0.07674058256634453,-0.0018250680023174128,0.20600954820292827,0.9080844295676798,0.0007079746930488776,0.0032679240914603724,2.4439124336931854,1.1721787516144104,0.008777946496138611,0.5867974129505455,,,,
conservative_drtp_sg,3005,1953,128,success,0.06450562688041828,0.10864015164406737,-0.0021087294813921047,0.26928672136273235,0.9265301957493648,0.0008895917306783,0.004292806105468117,2.389448004309088,1.3603875314001925,1.9205461967430892e-05,0.6853768648579717,,,,
conservative_drtp_sg,3005,2930,128,success,0.12163516077271197,0.4996844230336137,-0.0022298524951060213,1.0501288794985157,0.837372399866581,0.001074362549289276,0.007631937861106053,2.3150165176484734,2.964232662692666,0.015362782380179851,1.328274650964886,,,,
conservative_drtp_sg,3005,3907,128,success,0.16667456371942535,0.5860546840704046,-0.0022046629117126516,1.2216212234925479,0.8980857034912333,0.0009652427685165794,0.004608154440575163,2.255126500269398,3.7345994154457003,-0.017339881723046346,1.4465074189938605,,,,
