source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/nominal_multi_vs_no_graph/intercept_3d_strict_sensing_seed_level_deltas.csv,a62e64656fc334df23a196f67a057a8e74190f05e736abe6a0287985de627853,3231,40,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/nominal_multi_vs_single/intercept_3d_strict_sensing_recovered_only_steps.csv,a25249d56608a62541da71e6ad62b4c5e5778ef464d06b78f673f6bce8e67a4f,387,2,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/nominal_multi_vs_single/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,674c472269bc0c8a0daa7818ccf8370f035ace0e044771f8e10bacc0f0e18706,1162,8,False,False,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/seed_aware/nominal_multi_vs_single/intercept_3d_strict_sensing_seed_level_deltas.csv,94352457d4a8c8c6e6df1be0f9090fbb8db6ec66f36f5eaaae3ffe9c890283f1,3260,40,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/test_checkpoint_summary.csv,0201fc296da7abe07440da9e860dda5b2ae83feb2950cdd1e29893baebae3914,9173,30,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/test_episode_metrics.csv,a9aab824e96e58e2abe9b1a4b5b311de76e644aa5770130d8a51c5b40be448e6,1776361,3000,False,True,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_formal_merged/test_selected_checkpoints.csv,3b10db97668d512457619a37d2323bea7e4a0872cfb68154e44a17630aaf78e1,7975,30,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_smoke/test_checkpoint_summary.csv,ff771eca3165d33c61d83b6e8ba018fa1a361bc3c4ad20c619ef6ac87bd7b583,867,1,False,False,False
e02a753,results/gate1_safety_fx60_failure_timing_generalization_smoke/test_episode_metrics.csv,751ee52d2215051554baacf3051cc63b04672f6adadb4704bb8838293c53adf6,1800,1,False,True,True
e02a753,results/gate1_safety_fx60_failure_timing_generalization_smoke/test_selected_checkpoints.csv,364f576522806c99f60d877245a08d57f27af76d8be208a3286650574767f608,733,1,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_3seed_dev60_sweep_eval30/curriculum/validation_checkpoint_summary.csv,d1f916f6972235a70c6b4fd1e641e8a000188eea5d05f15b71783bcded490db3,5980,18,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_3seed_dev60_sweep_eval30/curriculum/validation_episode_metrics.csv,e0a650f29622f53c135df5cb3ffcdf962f3b4362695b72bee1e3302b25727ba0,324044,540,False,True,True
e02a753,results/gate1_safety_fx60_no_curriculum_3seed_dev60_sweep_eval30/curriculum/validation_selected_checkpoints.csv,ee7cf95c7604386e6d6bef27fd8909c92c26633b84d539049008e67b6899683b,1267,3,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_3seed_dev60_sweep_eval30/no_curriculum/validation_checkpoint_summary.csv,305f961c51c1331f60833b976493f787935fa26fb4e85c6b496246e2af78eab6,5821,18,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_3seed_dev60_sweep_eval30/no_curriculum/validation_episode_metrics.csv,3d4f4b46c6880174efa6d5d10e7bb02467416deca62680424ff4bd6e9ff723e3,316545,540,False,True,True
e02a753,results/gate1_safety_fx60_no_curriculum_3seed_dev60_sweep_eval30/no_curriculum/validation_selected_checkpoints.csv,27ba3803ccb2dd4291e4b165eaba8f6af83ef9563a557f9d4a079b3fada3492c,1234,3,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev10_eval30/curriculum/validation_checkpoint_summary.csv,e7a7cd23b8a512ddc9ecd8bd998256e213da86c35c8b349a97713758c3f4f331,886,1,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev10_eval30/curriculum/validation_episode_metrics.csv,d03703bf0f319beddf1b4bd71e657283fdf916a50c678266d70a5efece5c8a19,19154,30,False,True,True
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev10_eval30/curriculum/validation_selected_checkpoints.csv,cf5c17ebdcfae5aceb0ccb8196b41f791d800b784dd0d25a1815eb3723e7f1aa,737,1,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev10_eval30/no_curriculum/validation_checkpoint_summary.csv,9eb9fe3dbf2610ee4a27a9abf37435969164907ddb5e2770945bfc78ccc98b5d,893,1,False,False,False
