method,seed,scenario,episode,success,recovered,steps,failure_step,recovery_step,first_support_after_failure,support_persistence,unique_active_pairs,pre_recovery_boost,action_hash
full,0,dropout030_delay2_relay_failure_early,47,1,1,46,24,46,25,8,3,-0.0111,ad2e0b35b9067f89
full,0,dropout030_delay2_relay_failure_early,45,0,0,260,24,-1,25,7,3,,5379eb4d5aea6b61
full,0,dropout030_delay2_relay_failure_early,49,1,1,44,24,44,25,9,3,-0.0111,6b0856ca550cb70d
full,0,dropout030_delay2_relay_failure_early,50,1,1,45,24,45,25,8,3,-0.0111,75e9dd6bee836efd
full,0,dropout030_delay2_relay_failure_early,51,1,1,45,24,45,25,7,3,-0.0667,aa059287b6269468
full,0,dropout030_delay2_relay_failure_early,48,1,1,47,24,47,25,3,3,-0.0222,34efd13164d7541f
full,0,dropout030_delay2_relay_failure_early,53,1,1,44,24,44,25,6,3,-0.0111,af8f7c8b9060d172
full,0,dropout030_delay2_relay_failure_early,52,1,1,45,24,45,25,4,3,-0.0111,4d3e6a0100bb2a06
full,0,dropout030_delay2_relay_failure_early,54,1,1,45,24,45,26,4,3,-0.0333,ca2b98b92e3a9ac0
full,0,dropout030_delay2_relay_failure_early,55,1,1,45,24,45,25,7,3,-0.0111,d0cc76edbdba179a
full,0,dropout030_delay2_relay_failure_early,56,1,1,44,24,44,27,4,3,-0.0444,73320a86cebad1cc
full,0,dropout030_delay2_relay_failure_early,58,1,1,44,24,44,25,14,3,0.0000,ddf58ca833e4839a
full,0,dropout030_delay2_relay_failure_early,57,1,1,46,24,46,25,4,3,0.0222,4cb9643d4177519b
full,0,dropout030_delay2_relay_failure_early,59,1,1,46,24,46,25,3,3,-0.0111,3b613550f572c200
full,0,dropout030_delay2_relay_failure_early,60,1,1,45,24,45,26,10,3,0.0000,b703cc99bb48d0bd
full,0,dropout030_delay2_relay_failure_early,62,1,1,45,24,45,27,4,3,-0.0222,2157cb1b08dd84d1
full,0,dropout030_delay2_relay_failure_early,63,1,1,46,24,46,25,5,3,-0.0444,29b4c2286095392d
full,0,dropout030_delay2_relay_failure_early,61,0,0,260,24,-1,25,8,3,,752b0170927ee7df
full,0,dropout030_delay2_relay_failure_early,64,1,1,44,24,44,25,6,3,-0.0111,d61ec01c7742c89e
full,0,dropout030_delay2_relay_failure_early,65,1,1,46,24,46,25,6,3,-0.0111,0aeb0b273837db45
full,0,dropout030_delay2_relay_failure_early,67,1,1,47,24,47,25,5,3,0.0000,2fa53f39617d3d97
full,0,dropout030_delay2_relay_failure_early,66,0,0,260,24,-1,28,12,3,,ee6b8c3b0a6857bf
full,0,dropout030_delay2_relay_failure_early,68,1,1,45,24,45,26,5,3,0.0000,25f820b13c0442d3
full,0,dropout030_delay2_relay_failure_early,69,1,1,47,24,47,25,6,3,0.0111,638838751c022d78
full,0,dropout030_delay2_relay_failure_early,70,0,0,260,24,-1,25,10,3,,db20c1250ecd97c8
full,0,dropout030_delay2_relay_failure_early,71,0,0,260,24,-1,25,7,3,,64fdbae2d0d49af4
full,0,dropout030_delay2_relay_failure_early,74,1,1,46,24,46,25,3,3,-0.0333,4216c0f08384d91e
full,0,dropout030_delay2_relay_failure_early,73,1,1,47,24,47,27,5,3,0.0222,272f26669dafba79
full,0,dropout030_delay2_relay_failure_early,72,0,0,260,24,-1,25,7,3,,130da721856a2e7b
full,0,dropout030_delay2_relay_failure_early,75,0,0,260,24,-1,25,10,3,,4b93c8571385a93f
full,0,dropout030_delay2_relay_failure_early,79,1,1,46,24,46,25,4,3,-0.0222,9b9009199c503d93
full,0,dropout030_delay2_relay_failure_early,76,1,1,47,24,47,25,10,3,-0.0556,f3878b126afa72e5
full,0,dropout030_delay2_relay_failure_early,77,1,1,47,24,47,25,4,3,0.0000,6aa6b6646e0877c2
full,0,dropout030_delay2_relay_failure_early,78,1,1,47,24,47,25,3,3,-0.0222,5945284428480a6f
full,0,dropout030_delay2_relay_failure_early,80,1,1,44,24,44,26,4,3,-0.0333,7f5470ff3a5d1ad3
full,0,dropout030_delay2_relay_failure_early,83,1,1,44,24,44,25,4,3,-0.0222,0720e6310bc4cb42
full,0,dropout030_delay2_relay_failure_early,81,1,1,46,24,46,26,5,3,0.0111,5e6b5d76248118f5
full,0,dropout030_delay2_relay_failure_early,82,1,1,46,24,46,26,9,3,0.0333,2e9f3fc5a7c45c08
full,0,dropout030_delay2_relay_failure_early,87,1,1,44,24,44,25,6,3,0.0000,2577abc0825d1ad0
full,0,dropout030_delay2_relay_failure_early,84,1,1,45,24,45,26,6,3,0.0000,a5076c281c482bdb
full,0,dropout030_delay2_relay_failure_early,86,1,1,45,24,45,25,5,3,-0.0111,80cc0526c0bb5cb1
full,0,dropout030_delay2_relay_failure_early,85,1,1,48,24,48,25,4,3,-0.0222,364b548e386f92d9
full,0,dropout030_delay2_relay_failure_early,88,1,1,45,24,45,25,4,3,-0.0444,65885ed89bd0f8fa
full,0,dropout030_delay2_relay_failure_early,91,1,1,45,24,45,25,8,3,0.0333,110c6fc932368f8e
full,0,dropout030_delay2_relay_failure_early,89,1,1,46,24,46,25,4,3,0.0111,599ab24bed712797
full,0,dropout030_delay2_relay_failure_early,90,0,0,260,24,-1,25,9,3,,9f9dda117003be2d
full,0,dropout030_delay2_relay_failure_early,93,1,1,44,24,44,26,10,3,-0.0111,6933ebc9ab7741d5
full,0,dropout030_delay2_relay_failure_early,95,1,1,45,24,45,25,6,3,-0.0222,dc855b8a10e5f63c
full,0,dropout030_delay2_relay_failure_early,92,1,1,48,24,48,25,5,3,0.0000,42a5f453e2c30deb
full,0,dropout030_delay2_relay_failure_early,94,0,0,260,24,-1,25,8,3,,c4b4e9f2f33177c5
full,0,dropout030_delay2_relay_failure_early,96,1,1,44,24,44,25,3,3,-0.0333,74f760fb6dca40db
full,0,dropout030_delay2_relay_failure_early,98,1,1,44,24,44,26,5,3,0.0000,dbd968cc26e38299
full,0,dropout030_delay2_relay_failure_early,97,1,1,46,24,46,25,8,3,-0.0111,8c2240c0426c3aaa
full,0,dropout030_delay2_relay_failure_early,99,0,0,260,24,-1,25,10,3,,3827192063aca8ef
full,1,dropout030_delay2_relay_failure,0,1,1,44,39,44,-1,0,3,0.0000,38953b3681619666
full,1,dropout030_delay2_relay_failure,1,1,1,44,39,44,40,2,3,0.0000,f69401a049864331
full,1,dropout030_delay2_relay_failure,2,1,1,45,39,45,42,2,3,0.0000,c600153b19d65458
full,1,dropout030_delay2_relay_failure,3,1,1,45,39,45,40,2,3,0.0000,f4454fedf1d44b58
full,1,dropout030_delay2_relay_failure,5,1,1,45,39,45,41,2,3,0.0000,f9c6ece67e526cc2
full,1,dropout030_delay2_relay_failure,6,1,1,46,39,46,40,4,3,0.0000,b3611ccfc2cfe15b
full,1,dropout030_delay2_relay_failure,4,1,1,47,39,47,40,2,3,0.0000,35dde53b73122788
full,1,dropout030_delay2_relay_failure,7,1,1,47,39,47,40,2,3,0.0000,16a17656c0c2480b
full,1,dropout030_delay2_relay_failure,11,1,1,46,39,46,40,3,3,0.0000,347df0b91f90710b
full,1,dropout030_delay2_relay_failure,8,1,1,47,39,47,40,3,3,0.0000,53b7032475eb6fc3
full,1,dropout030_delay2_relay_failure,10,1,1,48,39,48,41,4,3,0.0000,a6e0d1f861b87f80
full,1,dropout030_delay2_relay_failure,9,0,0,260,39,-1,40,22,3,,4a7f08430857c78f
full,1,dropout030_delay2_relay_failure,15,1,1,44,39,44,41,1,3,0.0000,ceb98ea6f0764f9c
full,1,dropout030_delay2_relay_failure,12,1,1,46,39,46,40,4,3,0.0000,077ce56c1112bf34
full,1,dropout030_delay2_relay_failure,13,1,1,47,39,47,40,3,3,0.0000,89eeedf38e586623
full,1,dropout030_delay2_relay_failure,14,1,1,49,39,49,40,5,3,0.0000,bd41787c35244a21
full,1,dropout030_delay2_relay_failure,19,1,1,45,39,45,40,2,3,0.0000,0f71beb3999d7866
full,1,dropout030_delay2_relay_failure,17,1,1,46,39,46,40,3,3,0.0000,e600fdac17ffcbc0
full,1,dropout030_delay2_relay_failure,16,1,1,47,39,47,41,6,3,0.0000,d10c603044094ef2
full,1,dropout030_delay2_relay_failure,18,1,1,48,39,48,42,3,3,0.0000,81f2167287d28455
full,1,dropout030_delay2_relay_failure,23,1,1,44,39,44,40,4,3,0.0000,de335a15ed83fb52
full,1,dropout030_delay2_relay_failure,20,1,1,45,39,45,40,4,3,0.0000,3dcdd04087335786
full,1,dropout030_delay2_relay_failure,21,1,1,46,39,46,40,6,3,0.0000,5909e3db110c93ae
full,1,dropout030_delay2_relay_failure,22,1,1,50,39,50,40,2,3,-0.0111,7e94506c534b784c
full,1,dropout030_delay2_relay_failure,27,1,1,44,39,44,41,2,3,0.0000,9bb8a7de2e347c20
full,1,dropout030_delay2_relay_failure,24,1,1,47,39,47,40,3,3,0.0000,08ff205b9d632272
full,1,dropout030_delay2_relay_failure,26,1,1,48,39,48,41,4,3,0.0000,c63a84b4d42d3ea7
full,1,dropout030_delay2_relay_failure,25,0,0,260,39,-1,41,12,3,,f6ab9806a0d8f465
full,1,dropout030_delay2_relay_failure,30,1,1,45,39,45,40,2,3,0.0000,651bc251fae1f0f5
full,1,dropout030_delay2_relay_failure,31,1,1,45,39,45,40,3,3,0.0000,680f1c668e55f09d
full,1,dropout030_delay2_relay_failure,28,1,1,47,39,47,41,4,3,0.0000,241b7265600ede99
full,1,dropout030_delay2_relay_failure,29,1,1,47,39,47,41,4,3,0.0000,d6c37b9f0e948150
full,1,dropout030_delay2_relay_failure,33,1,1,44,39,44,40,2,3,0.0000,841fa326539539ad
full,1,dropout030_delay2_relay_failure,35,1,1,44,39,44,41,1,3,0.0000,3876b35821680b78
full,1,dropout030_delay2_relay_failure,34,1,1,46,39,46,41,3,3,0.0000,2e510da26193fa4b
full,1,dropout030_delay2_relay_failure,32,1,1,51,39,51,42,4,3,-0.0111,8f3f11ab578f64a8
full,1,dropout030_delay2_relay_failure,39,1,1,45,39,45,40,3,3,0.0000,9712be3765665809
full,1,dropout030_delay2_relay_failure,37,1,1,46,39,46,41,5,3,0.0000,736354f9810bdad8
full,1,dropout030_delay2_relay_failure,38,1,1,47,39,47,41,4,3,0.0000,2988727035e6e5a3
full,1,dropout030_delay2_relay_failure,36,1,1,50,39,50,41,2,3,-0.0111,6db096ff64d38ef5
full,1,dropout030_delay2_relay_failure,41,1,1,44,39,44,40,2,3,0.0000,62cf4ad34079a109
full,1,dropout030_delay2_relay_failure,40,1,1,45,39,45,40,4,3,0.0000,7efd028d9a2f237f
full,1,dropout030_delay2_relay_failure,43,1,1,45,39,45,40,2,3,0.0000,89fc4278027d6c24
full,1,dropout030_delay2_relay_failure,42,1,1,48,39,48,40,3,3,0.0000,2e2ecc8ac3207304
full,1,dropout030_delay2_relay_failure,46,1,1,44,39,44,40,1,3,0.0000,6f5e1d0aeb1fce2e
full,1,dropout030_delay2_relay_failure,44,1,1,45,39,45,40,4,3,0.0000,782cc158013d6005
full,1,dropout030_delay2_relay_failure,47,1,1,47,39,47,40,3,3,0.0000,aa23069e5cd7d037
full,1,dropout030_delay2_relay_failure,45,1,1,49,39,49,40,6,3,0.0000,1890e0726c6cd259
full,1,dropout030_delay2_relay_failure,49,1,1,44,39,44,41,2,3,0.0000,adc4a9f4daf382e6
full,1,dropout030_delay2_relay_failure,51,1,1,45,39,45,42,3,3,0.0000,040f18a05c0bf9a2
