cohort,seed,bin_id,update_start,update_end,environment_steps_million_end,utr_mean_train_reward,drtp_mean_train_reward,drtp_minus_utr_train_reward
formal_2301_2305,2302,30,15001,15500,3.968,0.24212602999806404,0.22816909361630677,-0.013956936381757268
formal_2301_2305,2303,30,15001,15500,3.968,0.23806125220656396,0.22486229665577412,-0.013198955550789843
formal_2301_2305,2304,30,15001,15500,3.968,0.2053547387868166,0.2485987621098757,0.0432440233230591
formal_2301_2305,2305,30,15001,15500,3.968,0.20931823186576368,0.25886933293938635,0.04955110107362268
formal_2301_2305,2301,31,15501,16000,4.096,0.2722025769650936,0.24112655492126941,-0.031076022043824175
formal_2301_2305,2302,31,15501,16000,4.096,0.2179701918438077,0.18587600278854371,-0.03209418905526398
formal_2301_2305,2303,31,15501,16000,4.096,0.2487955270111561,0.2261022888571024,-0.02269323815405369
formal_2301_2305,2304,31,15501,16000,4.096,0.2089065959448926,0.248059182330966,0.039152586386073385
formal_2301_2305,2305,31,15501,16000,4.096,0.193788092687726,0.25267071124911306,0.058882618561387046
formal_2301_2305,2301,32,16001,16500,4.224,0.26115862748026847,0.241780663266778,-0.019377964213490473
formal_2301_2305,2302,32,16001,16500,4.224,0.19247363448143007,0.20794121147692204,0.015467576995491977
formal_2301_2305,2303,32,16001,16500,4.224,0.23524728190898894,0.21052430398389696,-0.024722977925091982
formal_2301_2305,2304,32,16001,16500,4.224,0.24632004986703396,0.2534664948955178,0.007146445028483855
formal_2301_2305,2305,32,16001,16500,4.224,0.22651970367133617,0.24532407833635808,0.01880437466502191
formal_2301_2305,2301,33,16501,17000,4.352,0.2678474799245596,0.22698980018869042,-0.04085767973586918
formal_2301_2305,2302,33,16501,17000,4.352,0.22667117328941822,0.2237265622615814,-0.002944611027836802
formal_2301_2305,2303,33,16501,17000,4.352,0.22038505840301514,0.22057769632339477,0.00019263792037962912
formal_2301_2305,2304,33,16501,17000,4.352,0.21651692928164265,0.27453558158874514,0.058018652307102486
formal_2301_2305,2305,33,16501,17000,4.352,0.20865999354422093,0.2765469517707825,0.06788695822656154
formal_2301_2305,2301,34,17001,17500,4.48,0.2709335191696882,0.22398518111463636,-0.04694833805505186
formal_2301_2305,2302,34,17001,17500,4.48,0.23968991642445325,0.21973044808954,-0.019959468334913244
formal_2301_2305,2303,34,17001,17500,4.48,0.20362907169014216,0.21489860104769468,0.011269529357552516
formal_2301_2305,2304,34,17001,17500,4.48,0.23322360195964575,0.2805253978073597,0.047301795847713934
formal_2301_2305,2305,34,17001,17500,4.48,0.20807620830088855,0.2647626536488533,0.05668644534796477
formal_2301_2305,2301,35,17501,18000,4.608,0.27043292951583864,0.21895001563429833,-0.051482913881540304
formal_2301_2305,2302,35,17501,18000,4.608,0.24364027312397957,0.2286360447332263,-0.015004228390753271
formal_2301_2305,2303,35,17501,18000,4.608,0.22408195228874683,0.24314129500091075,0.019059342712163918
formal_2301_2305,2304,35,17501,18000,4.608,0.23427142757549882,0.2740591087788343,0.039787681203335507
formal_2301_2305,2305,35,17501,18000,4.608,0.20202388201653956,0.25866770650446413,0.05664382448792457
formal_2301_2305,2301,36,18001,18500,4.736,0.2804978642463684,0.19972711220383643,-0.08077075204253198
formal_2301_2305,2302,36,18001,18500,4.736,0.22353557365387677,0.2376468752026558,0.014111301548779015
formal_2301_2305,2303,36,18001,18500,4.736,0.23283943615853786,0.25185451082885263,0.01901507467031477
formal_2301_2305,2304,36,18001,18500,4.736,0.19915344886854291,0.2787490729987621,0.0795956241302192
formal_2301_2305,2305,36,18001,18500,4.736,0.234662598118186,0.27978606840968134,0.045123470291495354
formal_2301_2305,2301,37,18501,19000,4.864,0.27378967943787574,0.23159245264902711,-0.04219722678884863
formal_2301_2305,2302,37,18501,19000,4.864,0.1907859957665205,0.1982227229550481,0.0074367271885275865
formal_2301_2305,2303,37,18501,19000,4.864,0.23444359795749187,0.2607053473293781,0.026261749371886245
formal_2301_2305,2304,37,18501,19000,4.864,0.20494109144806863,0.26225662766397,0.05731553621590138
formal_2301_2305,2305,37,18501,19000,4.864,0.2095838492885232,0.27543364742398263,0.06584979813545944
formal_2301_2305,2301,38,19001,19500,4.992,0.29308263850212096,0.2238396746739745,-0.06924296382814646
formal_2301_2305,2302,38,19001,19500,4.992,0.1953188993036747,0.21320395709574222,0.017885057792067532
formal_2301_2305,2303,38,19001,19500,4.992,0.21598603470623493,0.27655400744080544,0.06056797273457051
formal_2301_2305,2304,38,19001,19500,4.992,0.2306415115594864,0.27856387782096864,0.04792236626148225
formal_2301_2305,2305,38,19001,19500,4.992,0.2212957127764821,0.2803790539354086,0.05908334115892647
formal_2301_2305,2301,39,19501,20000,5.12,0.2951935965269804,0.22515927319112233,-0.07003432333585807
formal_2301_2305,2302,39,19501,20000,5.12,0.21930422714352607,0.19894736592471599,-0.020356861218810085
formal_2301_2305,2303,39,19501,20000,5.12,0.21394197072833776,0.2695933938920498,0.05565142316371202
formal_2301_2305,2304,39,19501,20000,5.12,0.21943364752829075,0.2692958262711763,0.049862178742885566
