table,method,condition,metric,mean,sd,n,source
table3_robustness,param_matched_single,R02,delta_recovery_from_R00,-0.026667,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R02,delta_t_rec_from_R00,-4.656120,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R02,worst_seed_recovery,0.940000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R03,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R03,delta_t_rec_from_R00,-4.686667,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R03,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R04,delta_recovery_from_R00,-0.166667,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R04,delta_t_rec_from_R00,6.108147,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R04,worst_seed_recovery,0.600000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R05,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R05,delta_t_rec_from_R00,14.060000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R05,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R06,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R06,delta_t_rec_from_R00,140.897000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R06,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R07,delta_recovery_from_R00,-0.040000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R07,delta_t_rec_from_R00,8.016067,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R07,worst_seed_recovery,0.880000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R08,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R08,delta_t_rec_from_R00,126.397000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R08,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R09,delta_recovery_from_R00,-0.480000,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R09,delta_t_rec_from_R00,21.768300,,3,robustness-results-lock-v1.5.0
table3_robustness,param_matched_single,R09,worst_seed_recovery,0.120000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R01,delta_recovery_from_R00,-0.386667,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R01,delta_t_rec_from_R00,12.649717,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R01,worst_seed_recovery,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R02,delta_recovery_from_R00,-0.906667,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R02,delta_t_rec_from_R00,47.615217,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R02,worst_seed_recovery,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R03,delta_recovery_from_R00,-0.693333,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R03,delta_t_rec_from_R00,22.599667,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R03,worst_seed_recovery,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R04,delta_recovery_from_R00,-0.986667,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R04,delta_t_rec_from_R00,195.686667,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R04,worst_seed_recovery,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R05,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R05,delta_t_rec_from_R00,15.560000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R05,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R06,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R06,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R06,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R07,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R07,delta_t_rec_from_R00,0.033333,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R07,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R08,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R08,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R08,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R09,delta_recovery_from_R00,-1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R09,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,happo,R09,worst_seed_recovery,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R01,delta_recovery_from_R00,-0.013333,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R01,delta_t_rec_from_R00,0.239867,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R01,worst_seed_recovery,0.900000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R02,delta_recovery_from_R00,-0.100000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R02,delta_t_rec_from_R00,-0.061857,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R02,worst_seed_recovery,0.820000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R03,delta_recovery_from_R00,-0.080000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R03,delta_t_rec_from_R00,5.776573,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R03,worst_seed_recovery,0.740000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R04,delta_recovery_from_R00,-0.466667,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R04,delta_t_rec_from_R00,9.763967,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R04,worst_seed_recovery,0.020000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R05,delta_recovery_from_R00,0.013333,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R05,delta_t_rec_from_R00,15.705300,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R05,worst_seed_recovery,0.980000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R06,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R06,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R06,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R07,delta_recovery_from_R00,0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R07,delta_t_rec_from_R00,2.390433,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R07,worst_seed_recovery,0.960000,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R08,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R08,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R08,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R09,delta_recovery_from_R00,-0.546667,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R09,delta_t_rec_from_R00,50.636517,,3,robustness-results-lock-v1.5.0
table3_robustness,mappo,R09,worst_seed_recovery,0.000000,,3,robustness-results-lock-v1.5.0
table4_efficiency,full_ea_rg,-,params,117302,,1,efficiency-results-lock-v1.5.0
table4_efficiency,full_ea_rg,-,joint_decision_ms,12.0495,,1,efficiency-results-lock-v1.5.0
table4_efficiency,full_ea_rg,-,joint_decisions_per_s,83.0,,1,efficiency-results-lock-v1.5.0
table4_efficiency,full_ea_rg,-,env_steps_per_sec,241.96,,1,efficiency-results-lock-v1.5.0
table4_efficiency,full_ea_rg,-,train_peak_mem_mb,71.94,,1,efficiency-results-lock-v1.5.0
table4_efficiency,w_o_role_pair_gate,-,params,117302,,1,efficiency-results-lock-v1.5.0
table4_efficiency,w_o_role_pair_gate,-,joint_decision_ms,9.7709,,1,efficiency-results-lock-v1.5.0
table4_efficiency,w_o_role_pair_gate,-,joint_decisions_per_s,102.3,,1,efficiency-results-lock-v1.5.0
table4_efficiency,w_o_role_pair_gate,-,env_steps_per_sec,200.54,,1,efficiency-results-lock-v1.5.0
table4_efficiency,w_o_role_pair_gate,-,train_peak_mem_mb,66.19,,1,efficiency-results-lock-v1.5.0
table4_efficiency,mappo,-,params,15708,,1,efficiency-results-lock-v1.5.0
table4_efficiency,mappo,-,joint_decision_ms,2.1176,,1,efficiency-results-lock-v1.5.0
table4_efficiency,mappo,-,joint_decisions_per_s,472.2,,1,efficiency-results-lock-v1.5.0
table4_efficiency,mappo,-,env_steps_per_sec,310.98,,1,efficiency-results-lock-v1.5.0
table4_efficiency,mappo,-,train_peak_mem_mb,20.90,,1,efficiency-results-lock-v1.5.0
table4_efficiency,happo,-,params,107313,,1,efficiency-results-lock-v1.5.0
table4_efficiency,happo,-,joint_decision_ms,8.5829,,1,efficiency-results-lock-v1.5.0
table4_efficiency,happo,-,joint_decisions_per_s,116.5,,1,efficiency-results-lock-v1.5.0
table4_efficiency,happo,-,env_steps_per_sec,274.75,,1,efficiency-results-lock-v1.5.0
table4_efficiency,happo,-,train_peak_mem_mb,24.62,,1,efficiency-results-lock-v1.5.0
table4_efficiency,param_matched_single,-,params,84694,,1,efficiency-results-lock-v1.5.0
table4_efficiency,param_matched_single,-,joint_decision_ms,4.5359,,1,efficiency-results-lock-v1.5.0
table4_efficiency,param_matched_single,-,joint_decisions_per_s,220.5,,1,efficiency-results-lock-v1.5.0
