arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
snr_sg,2402,10m,duration_44_120,186.21620902983472,0.11,0.42,0.0,1.0,1.0,251.53,100,1.0,1.0,0,0.0,3.69,0.12458333333333334,0.0,0.5565,0.6749166666666667,22.608972222222224,149256.08917114258,776.08
snr_sg,2402,10m,compound_28_120,189.71538459623233,0.08,0.42,0.0,1.0,1.0,253.26,100,1.0,1.0,0,0.0,4.15,0.12016666666666667,0.0,0.4211666666666667,0.5395833333333333,24.764750000000003,148587.45884124757,743.43
snr_sg,2402,10m,compound_60_120,190.6474011672847,0.07,0.47,0.0,1.0,1.0,255.08,100,1.0,1.0,0,0.0,3.79,0.12368657817109144,0.0,0.6936998525073745,0.8088812684365781,22.19186725663717,151699.35122039795,794.98
snr_sg,2403,10m,nominal,204.4742482692981,0.02,0.79,0.0,nan,nan,255.6,0,nan,nan,0,nan,19.8,0.0,0.0,0.0,0.0,nan,145245.23601470946,839.42
snr_sg,2403,10m,f0_seen_44_80,189.50186133246405,0.02,0.72,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,21.26,0.22875,0.0,0.28625,0.494,17.2718537414966,146738.47188049316,852.6
snr_sg,2403,10m,timing_28_80,188.87068971036933,0.0,0.79,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,27.19,0.20375,0.0,0.10425000000000001,0.302,20.527125,149587.04028289794,882.54
snr_sg,2403,10m,timing_36_80,189.46718107346445,0.01,0.75,0.0,1.0,1.0,257.8,100,1.0,1.0,0,0.0,23.71,0.2235,0.0,0.190125,0.4,18.553583333333332,148157.79155181884,876.46
snr_sg,2403,10m,timing_52_80,192.69350554386153,0.02,0.68,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,15.06,0.233375,0.0,0.379625,0.591875,16.255612244897957,146461.29244781495,831.32
snr_sg,2403,10m,timing_60_80,191.80687040686607,0.02,0.66,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,14.43,0.23149999999999998,0.0,0.48512500000000003,0.687375,15.914030612244899,146327.7032562256,813.5
snr_sg,2403,10m,duration_44_40,193.71938733871096,0.02,0.8,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,27.47,0.008,0.0,0.0,0.008,14.339625850340136,146824.9157171631,864.3
