method,train_seed,update_start,update_end,environment_steps_million,train_avg_reward,approx_kl,clip_fraction
utr_sg,2304,6001,6500,1.536256,0.13887027368694543,0.0010769040331266902,0.006863281437836122
utr_sg,2304,6501,7000,1.664256,0.1465647379979491,0.000951621836222633,0.0054648439040756785
utr_sg,2304,7001,7500,1.792256,0.14755163772031665,0.0009328880729717639,0.00535872412059689
utr_sg,2304,7501,8000,1.920256,0.16917346078529955,0.0008616933666244221,0.004296224091493059
utr_sg,2304,8001,8500,2.048256,0.1718988804630935,0.0008698045554807927,0.0045175782656879165
utr_sg,2304,8501,9000,2.176256,0.19343790555372833,0.001003843285544614,0.005839192889572587
utr_sg,2304,9001,9500,2.304256,0.20306135757267474,0.001131294092359894,0.007485026271082461
utr_sg,2304,9501,10000,2.432256,0.20143570053577423,0.0012320979746442992,0.008389974177116528
utr_sg,2304,10001,10500,2.560256,0.1987394210025668,0.0012420970481252876,0.00894596380298026
utr_sg,2304,10501,11000,2.688256,0.17587299133464693,0.0016572382559658452,0.015944010858656838
utr_sg,2304,11001,11500,2.816256,0.21649530625343322,0.0012044987371086777,0.009135416917677504
utr_sg,2304,11501,12000,2.944256,0.21889857918024064,0.0010521628607025365,0.007397135631472338
utr_sg,2304,12001,12500,3.072256,0.22743826747685672,0.0016132198238004384,0.014660156651283614
utr_sg,2304,12501,13000,3.200256,0.2257289282679558,0.0014898885948956967,0.012925130568386522
utr_sg,2304,13001,13500,3.328256,0.22972707508504392,0.001867028955675473,0.017832031756115613
utr_sg,2304,13501,14000,3.456256,0.22256848761439324,0.001530252022552302,0.013060547233559192
utr_sg,2304,14001,14500,3.584256,0.10213775964081287,0.0028804660985852016,0.031916667540499474
utr_sg,2304,14501,15000,3.712256,0.22163346655666827,0.0011836421899203428,0.009971354441309813
utr_sg,2304,15001,15500,3.840256,0.2053547387868166,0.0013623420757053273,0.012425781596975867
utr_sg,2304,15501,16000,3.968256,0.2089065959448926,0.0017875689912101116,0.01719466194260167
utr_sg,2304,16001,16500,4.096256,0.24632004986703396,0.0022304430955282432,0.022955078746599612
utr_sg,2304,16501,17000,4.224256,0.21651692928164265,0.0019956260147070363,0.02072135473281378
utr_sg,2304,17001,17500,4.352256,0.23322360195964575,0.0021263391534694152,0.02177018289681291
utr_sg,2304,17501,18000,4.480256,0.23427142757549882,0.0015548373141697684,0.014635417064768261
utr_sg,2304,18001,18500,4.608256,0.19915344886854291,0.0020048112766489785,0.020985677686694543
utr_sg,2304,18501,19000,4.736256,0.20494109144806863,0.0017133820977175364,0.016240885932755193
utr_sg,2304,19001,19500,4.864256,0.2306415115594864,0.0019672161266947414,0.019533854706503918
utr_sg,2304,19501,20000,4.992256,0.21943364752829075,0.0016414324873458093,0.015477213969395961
utr_sg,2304,20001,20500,5.120256,0.24271431551501155,0.0016265294017266563,0.015448568143008743
utr_sg,2304,20501,21000,5.248256,0.18840386605449022,0.0011386704743613328,0.008763021080521866
