run,reference,tape,condition,episode_id,P1,P2,P3,failure_exposure
R1_B_REF,B,T1,duration,450000,-0.010182080799947143,-0.0,0.0,True
R1_B_REF,B,T1,duration,450001,-0.00787255346106823,-0.0,0.0,True
R1_B_REF,B,T1,duration,450002,-0.009160325708919314,-0.0,0.0,True
R1_B_REF,B,T1,duration,450003,-0.006224306964406841,-0.0,0.0,True
R1_B_REF,B,T1,duration,450004,-0.010238185876337923,-0.0,0.0,True
R1_B_REF,B,T1,duration,450005,-0.006625509374142563,-0.0,0.0,True
R1_B_REF,B,T1,duration,450006,-0.008430532081772624,-0.0,0.0,True
R1_B_REF,B,T1,duration,450007,-0.007105560333440132,-0.0,0.0,True
R1_B_REF,B,T1,duration,450008,-0.0072905826601804505,-0.0,0.0,True
R1_B_REF,B,T1,duration,450009,-0.007341872465849292,-0.0,0.0,True
R1_B_REF,B,T1,compound,450000,-0.0056738089477093405,-0.0,0.0,True
R1_B_REF,B,T1,compound,450001,-0.004576334927968169,-0.0,0.0,True
R1_B_REF,B,T1,compound,450002,-0.005280495292178839,-0.0,0.0,True
R1_B_REF,B,T1,compound,450003,-0.0037672776450793518,-0.0,0.0,True
R1_B_REF,B,T1,compound,450004,-0.005219140259767246,-0.0,0.0,True
R1_B_REF,B,T1,compound,450005,-0.003950618598431513,-0.0,0.0,True
R1_B_REF,B,T1,compound,450006,-0.00497946292822812,-0.0,0.0,True
R1_B_REF,B,T1,compound,450007,-0.004519189296039602,-0.0,0.0,True
R1_B_REF,B,T1,compound,450008,-0.003919386682455539,-0.0,0.0,True
R1_B_REF,B,T1,compound,450009,-0.00407742015470988,-0.0,0.0,True
R1_B_REF,B,T2,f0,460000,-0.009445724984582082,-0.0,0.0,True
R1_B_REF,B,T2,f0,460001,-0.006274521535390512,-0.0,0.0,True
R1_B_REF,B,T2,f0,460002,-0.008097811404409593,-0.0,0.0,True
R1_B_REF,B,T2,f0,460003,-0.01047711594147775,-0.0,0.0,True
R1_B_REF,B,T2,f0,460004,-0.006969168664663893,-0.0,0.0,True
R1_B_REF,B,T2,f0,460005,-0.007249150828502343,-0.0,0.0,True
R1_B_REF,B,T2,f0,460006,-0.009539869675159745,-0.0,0.0,True
R1_B_REF,B,T2,f0,460007,-0.008880317996068763,-0.0,0.0,True
R1_B_REF,B,T2,f0,460008,-0.007269827411581112,-0.0,0.0,True
R1_B_REF,B,T2,f0,460009,-0.00728861879171414,-0.0,0.0,True
R1_B_REF,B,T2,timing,460000,-0.008496079384577818,-0.0,0.0,True
R1_B_REF,B,T2,timing,460001,-0.005415135818017873,-0.0,0.0,True
R1_B_REF,B,T2,timing,460002,-0.007299059648320491,-0.0,0.0,True
R1_B_REF,B,T2,timing,460003,-0.009609998566019412,-0.0,0.0,True
R1_B_REF,B,T2,timing,460004,-0.006313975204716128,-0.0,0.0,True
